country;population;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol6;newCol7;newCol8;newCol9;newCol10;newCol11;newCol12;newCol13;newCol14;newCol15;newCol16;newCol17;newCol18;newCol
palestine;4420549;;;;;;;;;;;;;;;;;;;;
panama;3405813;3322576,0;2735943,0;3191319,0;;;3309679,0;3232000,0;;;;3140232,0;;3508475,0;;;3232000,0;;2107000,0;3360474,0;3322576,0
papua new guinea;7398500;6888000,0;;;;;5931769,0;5887000,0;;;;5545268,0;;6888387,0;;;5887000,0;;4968000,0;5940775,0;6888000,0
paraguay;6783374;6460000,0;5291020,0;6506464,0;;;6831306,0;6158000,0;;;;6347884,0;;6459727,0;;;6158000,0;;5722000,0;6995655,0;6460000,0
peru;30814175;2,9461933E7;2,611111E7;2,8302603E7;;;2,91809E7;2,7968E7;;;;2,7925628E7;;2,949612E7;;;2,7968E7;;3,2079E7;2,9546963E7;2,9461933E7
philippines;100217400;;;8,9468677E7;;;9,606168E7;8,3054E7;;1,01833938E8;;8,7857473E7;;9,3616853E7;;;8,3054E7;;8,593E7;9,7976603E7;8,9468677E7
poland;38496000;3,8167329E7;3,8606922E7;3,8536869E7;;;3,8500696E7;3,853E7;;3,8441588E7;;3,8557984E7;;3,817791E7;;;3,853E7;;3,7109E7;3,8482919E7;3,8167329E7
portugal;10477800;1,0636888E7;9927556,0;1,060587E7;;;1,067691E7;1,0495E7;;;;1,0566212E7;;1,064171E7;;;1,0495E7;;1,046E7;1,0707924E7;1,0636888E7
qatar;1919962;;697126,0;885359,0;;;824789,0;813000,0;;848016,0;;863051,0;;1508322,0;907229,0;;813000,0;;;833285,0;697126,0
republic congo;4559000;;;;;;;;;;;;;;;;;;;;
romania;19942642;2,1466174E7;2,2395848E7;2,2303552E7;;;2,2246862E7;2,1711E7;;2,1904551E7;;2,2329977E7;;2,144998E7;2,2276056E7;;2,1711E7;;2,1709E7;;2,1466174E7
russia;146068400;1,41927297E8;1,46861022E8;1,4289354E8;;;1,40702096E8;1,43202E8;;1,40702096E8;;1,43420309E8;;;1,41377752E8;;1,43202E8;;;1,40041247E8;1,41927297E8
rwanda;10537222;1,0277E7;;;;;1,0186063E7;9038000,0;;1,0186063E7;;8440820,0;;1,0277212E7;9907509,0;7398074,0;9038000,0;;8625000,0;1,0746311E7;1,0277E7
s o tom pr ncipe;187356;;;;;;;157000,0;;;;;;165397,0;;170372,0;157000,0;;;;157000,0
sahrawi arab democratic republic;50716;;;;;;;;;;;;;;;;;;;;
saint kitts nevis;55000;;;;;;39817,0;43000,0;;;;38958,0;;;;;43000,0;;;;39817,0
saint lucia;180000;;;;;;159585,0;161000,0;;;;166312,0;;;;;161000,0;;;;159585,0
saint vincent grenadines;109000;;;;;;;;;;;;;;;;;;;;
samoa;187820;;;;;;217083,0;185000,0;;;;177287,0;;178943,0;;;185000,0;;;;217083,0
san marino;33682;;;29251,0;;;29973,0;28000,0;;;;28880,0;;;;;28000,0;;;;29251,0
saudi arabia;29994272;2,6246E7;2,0785955E7;2,7019731E7;;;2,8146656E7;2,4573E7;;2,6131703E7;;2,6417599E7;;2,59889E7;2,7601038E7;;2,4573E7;;;2,8686633E7;2,6246E7
senegal;12873601;1,2861E7;;;;;1,2853259E7;1,1658E7;;;;1,1706498E7;;1,2860717E7;;1,0589571E7;1,1658E7;;;1,3711597E7;1,2861E7
serbia;7146759;;1,1206039E7;9393411,0;;;1,0159046E7;;;;;;;7289300,0;;;;;;;1,1206039E7
seychelles;90945;;;;;;82247,0;81000,0;;89188,0;;81188,0;;89000,0;81895,0;80098,0;81000,0;;;;82247,0
sierra leone;6190280;5836000,0;;;;;6294774,0;5525000,0;;;;5867426,0;;5835664,0;;5614743,0;5525000,0;;;5132138,0;5836000,0
singapore;5399200;4987600,0;3490356,0;4492150,0;null;;4608167,0;4326000,0;;4740737,0;null;4425720,0;null;5140300,0;4553009,0;;4326000,0;;;4657542,0;4987600,0
slovakia;5415949;5426645,0;5392982,0;5439448,0;;;5455407,0;5401000,0;;;;5431363,0;;;;;5401000,0;;5395000,0;5463046,0;5426645,0
slovenia;2063899;2062700,0;1971739,0;2010347,0;;;2007711,0;1967000,0;;2000092,0;;2011070,0;;2065110,0;2009245,0;;1967000,0;;1997000,0;2005692,0;2062700,0
solomon islands;581344;;;;;;581318,0;478000,0;;;;538032,0;;535699,0;;;478000,0;;;595613,0;581318,0
somalia;10806000;9359000,0;;;;;9558666,0;8228000,0;;;;8591629,0;;;;7753310,0;8228000,0;;;9832017,0;9359000,0
somaliland;3500000;;;;;;;;;;;;;;;;;;;;
south africa;54002000;4,99913E7;4,283452E7;;;;4,8782756E7;4,7432E7;;4,9004031E7;;4,4344136E7;;4,9962243E7;4,68882E7;4,3647658E7;4,7432E7;;4,877E7;4,9052489E7;4,99913E7
south korea;50423955;;4,6416796E7;4,8846823E7;;;4,8379392E7;4,7817E7;;4,8754657E7;;4,8640671E7;;;4,904479E7;;4,7817E7;;;4,8508972E7;4,6416796E7
south ossetia;51547000;;;;;;;;;;;;;;;;;;;;
south sudan;11739000;;;;;;;;;;;;;;;;;;;;
spain;46507800;4,6951532E7;3,9133996E7;4,0397842E7;;;4,0491052E7;4,3064E7;;4,6754784E7;;4,0341462E7;;4,62174E7;4,339815E7;;4,3064E7;;4,2335E7;4,0525002E7;4,6951532E7
sri lanka;20277597;2,041E7;1,8933558E7;2,022224E7;;;2,1128772E7;2,0743E7;;;;2,0064776E7;;2,0451826E7;;;2,0743E7;;2,0204E7;2,1324791E7;2,041E7
sudan;37289406;3,1894E7;;4,1236378E7;;;4,0218456E7;3,6233E7;;;;4,0187486E7;;4,3551941E7;;3,7090298E7;3,6233E7;;4,4028E7;;3,1894E7
suriname;534189;;;439117,0;;;475996,0;449000,0;;;;438144,0;;524345,0;;;449000,0;;;481267,0;439117,0
swaziland;1268000;;966462,0;;;;1128814,0;1032000,0;;1370424,0;;1138227,0;;1201904,0;1131000,0;1123605,0;1032000,0;;;1337186,0;966462,0
sweden;9705005;9366092,0;8886738,0;9016596,0;;;9045389,0;9041000,0;;;;9001774,0;;9394130,0;;;9041000,0;;;9059651,0;9366092,0
